ventaFolio,estado,fecha,severidad
9,Contrato en proceso de enrolamiento,2026-01-05 16:01,ADVERTENCIA
9,Se ha confirmado el enrolamiento del equipo,2026-01-05 17:17,INFORMACION
9,Se ha confirmado el enrolamiento del equipo,2026-01-05 17:17,INFORMACION
9,Contrato generado  pendiente de firma,2026-01-05 17:17,INFORMACION
9,Se subió el contrato firmado,2026-01-05 18:06,EXITO
9,El nombre del cliente ha sido aprobado,2026-01-05 18:09,EXITO
9,El nombre del cliente ha sido aprobado,2026-01-05 18:09,EXITO
9,El nombre del cliente ha sido aprobado,2026-01-05 18:11,EXITO
9,El apellido paterno del cliente ha sido aprobado,2026-01-05 18:12,EXITO
9,El apellido materno del cliente ha sido aprobado,2026-01-05 18:12,EXITO
9,La CURP del cliente ha sido aprobada,2026-01-05 18:13,EXITO
9,La dirección del cliente ha sido aprobada,2026-01-05 18:14,EXITO
9,El correo del cliente ha sido aprobado,2026-01-05 18:14,EXITO
9,El teléfono del cliente ha sido aprobado,2026-01-05 18:14,EXITO
9,El tipo de identificación ha sido aprobada,2026-01-05 18:14,EXITO
9,El número de identificación ha sido aprobado,2026-01-05 18:14,EXITO
9,El documento de identificación ha sido aprobado,2026-01-05 18:14,EXITO
9,La imagen del cliente ha sido aprobada,2026-01-05 18:14,EXITO
9,El INE frontal del cliente ha sido aprobado,2026-01-05 18:14,EXITO
9,El INE posterior ha sido aprobado,2026-01-05 18:14,EXITO
9,El INE frontal en luz negra ha sido aprobado,2026-01-05 18:14,EXITO
9,El INE posterior en luz negra ha sido aprobado,2026-01-05 18:14,EXITO
9,El comprobante de domicilio ha sido rechazado,2026-01-05 18:15,ERROR
9,La lista nominal ha sido aprobada,2026-01-05 18:15,EXITO
9,El nombre de la referencia 1 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,El teléfono de la referencia 1 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,El parentesco de la referencia 1 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,El nombre de la referencia 2 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,El teléfono de la referencia 2 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,El parentesco de la referencia 2 del cliente ha sido aprobado,2026-01-05 18:17,EXITO
9,La marca del equipo ha sido aprobada,2026-01-05 18:17,EXITO
9,El modelo del equipo ha sido aprobada,2026-01-05 18:17,EXITO
9,La variante del equipo ha sido aprobada,2026-01-05 18:17,EXITO
